Postcode,Year,ftft,ftpt,ftaw,ftun,ftnotlf,ftunstated,ptpt,ptaw,ptun,ptnotlf,ptunstated,awaw,awun,awnotlf,awunstated,unun,unnotlf,ununstated,notlfnotlf,notlfunstated,unstatedunstated,ft,pt,aw,un,notlf,unstated
"2148, NSW",2011,1416,1362,243,247,1510,104,172,71,67,312,59,61,22,115,17,38,121,10,353,77,45,508,387,51,107,684,35
"2150, NSW",2011,400,331,65,134,707,49,75,21,28,132,10,13,9,30,9,12,40,7,162,26,27,161,90,13,37,184,9
"2151, NSW",2011,456,512,76,69,461,39,57,26,21,92,23,15,3,37,3,8,18,3,99,21,6,190,99,21,20,140,13
"2152, NSW",2011,225,310,62,34,212,28,40,4,13,28,21,3,0,4,4,4,18,0,34,3,0,111,56,12,13,57,3
"2153, NSW",2011,1768,2228,303,199,1255,139,178,79,40,161,84,72,14,60,18,14,34,10,111,61,11,412,254,35,58,192,11
"2154, NSW",2011,1273,1518,167,112,982,111,109,41,22,117,79,43,10,45,9,13,35,9,96,52,7,285,177,16,28,151,5
"2155, NSW",2011,1928,2284,269,196,1222,139,155,59,32,103,86,78,8,60,20,9,36,7,81,66,11,326,209,26,40,143,0
"2156, NSW",2011,389,557,39,32,238,25,63,16,12,26,31,13,0,9,4,0,5,3,21,22,6,82,52,7,0,40,0
"2157, NSW",2011,79,155,16,9,87,8,10,14,3,18,4,4,0,5,0,0,8,3,9,9,0,23,25,0,3,16,0
"2158, NSW",2011,232,325,24,19,195,30,30,7,13,30,15,11,0,8,3,3,8,0,23,12,0,73,45,3,3,36,6
"2159, NSW",2011,116,188,12,5,102,14,15,3,0,9,3,0,0,10,0,0,0,0,12,8,0,42,24,0,0,15,0
"2160, NSW",2011,510,494,103,84,863,33,88,28,47,269,24,33,3,94,9,24,104,5,433,45,42,227,200,45,60,468,27
"2161, NSW",2011,361,364,58,58,703,35,87,23,25,286,24,24,3,104,9,16,109,7,522,59,40,152,113,23,56,430,21
"2162, NSW",2011,343,298,26,46,403,17,45,7,34,144,14,24,0,54,0,13,64,3,233,22,10,123,88,17,50,285,8
"2163, NSW",2011,80,71,15,19,164,12,18,8,5,67,5,3,3,34,4,7,33,0,161,13,9,49,49,5,29,233,14
"2164, NSW",2011,313,343,50,34,399,34,46,18,18,138,13,21,0,41,3,6,46,3,236,23,4,151,122,21,32,240,6
"2165, NSW",2011,538,429,72,92,903,50,92,33,35,391,29,26,10,105,10,39,155,11,949,72,53,262,238,42,111,799,35
"2166, NSW",2011,716,512,86,134,1179,64,177,26,86,463,32,53,10,137,13,67,194,10,694,89,79,396,433,68,208,1236,73
